"","Address","Number","Street","Number.of.People","Bathrooms","Beds.Average","Full.Beds","Quiet","Fire.Code.Capacity","Minutes.to.Fountain","Minutes.to.Olin","Minutes.to.Gym","Reserve","ADA.Compliance","New","Duplex","Link","X"
"124","59 Pearl Street","59","Pearl Street",6,2,2,6,"NO",15,16,12,16,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/59_pearl.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/59_pearl.htm</a>",NA
"125","260 Pine Street","260","Pine Street",6,2,2,6,"NO",23,6,3,6,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/260_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/260_pine.htm</a>",NA
"126","5 Vine Street","5","Vine Street",6,2,2,6,"NO",19,2,3,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/5_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/5_vine.htm</a>",NA
"127","63 Pearl Street","63","Pearl Street",6,2,2,6,"NO",27,16,11,16,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/63_pearl_street1.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/63_pearl_street1.htm</a>",NA
"128","73A Lawn Avenue","73A","Lawn Avenue",3,1,2,3,"YES",30,6,3,6,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/73_lawn_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/73_lawn_a.htm</a>",NA
"129","86A Lawn Avenue","86A","Lawn Avenue",3,1,2,3,"YES",18,5,4,6,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/86_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/86_lawn.htm</a>",NA
"130","96A Lawn Avenue","96A","Lawn Avenue",3,1,2,3,"YES",21,5,4,5,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/96_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/96_lawn.htm</a>",NA
"131","73B Lawn Avenue","73B","Lawn Avenue",3,1,2,3,"YES",30,6,3,6,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/73_lawn_b.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/73_lawn_b.htm</a>",NA
"132","86B Lawn Avenue","86B","Lawn Avenue",3,1,2,3,"YES",18,5,4,6,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/86_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/86_lawn.htm</a>",NA
"133","96B Lawn Avenue","96B","Lawn Avenue",3,1,2,3,"YES",20,5,4,5,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/96_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/96_lawn.htm</a>",NA
"134","18 Brainerd Avenue","18","Brainerd Avenue",4,1,2,4,"YES",19,7,6,8,"NO","NO","NO","NO","<a href='https://www.wesleyan.edu/reslife/housing/woodframe/18_ Brainerd.htm' target='_blank'>https://www.wesleyan.edu/reslife/housing/woodframe/18_ Brainerd.htm</a>",NA
"135","20 Brainerd Avenue","20","Brainerd Avenue",4,1,2,4,"YES",19,7,6,8,"NO","NO","NO","NO","<a href='https://www.wesleyan.edu/reslife/housing/woodframe/18_ Brainerd.htm' target='_blank'>https://www.wesleyan.edu/reslife/housing/woodframe/18_ Brainerd.htm</a>",NA
"136","52 Home Avenue","52","Home Avenue",4,2,2,4,"YES",20,9,5,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/52_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/52_home.htm</a>",NA
"137","55 Home Avenue","55","Home Avenue",4,1.5,2,4,"YES",19,9,4,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/55_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/55_home.htm</a>",NA
"138","43A Home Avenue","43A","Home Avenue",4,1,2,4,"YES",20,8,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/43_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/43_home.htm</a>",NA
"139","59A Home Avenue","59A","Home Avenue",4,1.5,2,4,"YES",20,8,4,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/59_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/59_home.htm</a>",NA
"140","59B Home Avenue","59B","Home Avenue",4,1.5,2,4,"YES",20,8,4,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/59_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/59_home.htm</a>",NA
